-,ꢦ,ꢦ꣄ꢬꢵꢫꢪ꣄,sourashtra,Sourashtra word for stage,,prayam':2 'stage':3 'period':4 'phase':5 'age':6 'time':7 'developmental':8 'ꢦ꣄ꢬꢵꢫꢪ꣄':1,time|period|stage,प्रायम|ப्ராయம्|/ˈpraːjam/,,"{""category"": ""noun"", ""type"": ""abstract""}"
^,,stage,english,"period or phase in life, developmental phase",,stage':1 'period':2 'phase':3 'life':4 'developmental':5 'prayam':6,time|period,/steɪdʒ/,noun,
^,,பருவம்,tamil,வாழ்க்கைப் படிநிலை,,paruvam':1 'stage':2 'period':3 'life':4 'phase':5 'prayam':6,time|period,,noun,
-,ꢨ,ꢨꢵꢭꢦ꣄ꢬꢵꢫꢪ꣄,sourashtra,Sourashtra word for young stage,,balaprayam':2 'young':3 'stage':4 'childhood':5 'early':6 'period':7 'bala':8 'ꢨꢵꢭꢦ꣄ꢬꢵꢫꢪ꣄':1,age|stage|childhood,बलप्रायम|பா3லப्ராயம्|/ˈbʌləpraːjam/,,"{""category"": ""noun"", ""type"": ""life_stage""}"
^,,young stage,english,"childhood period, early life phase",,young':1 'stage':2 'childhood':3 'period':4 'early':5 'life':6 'balaprayam':7,age|stage,/jʌŋ steɪdʒ/,noun,
^,,பால பருவம்,tamil,குழந்தைப் பருவம்,,bala':1 'paruvam':2 'childhood':3 'young':4 'stage':5 'balaprayam':6,age|stage,,noun,
-,ꢨ,ꢨꢵꢳꢸꢥ꣄,sourashtra,Sourashtra word for young children,,balun':2 'young':3 'children':4 'kids':5 'little':6 'ones':7 'infants':8 'ꢨꢵꢳꢸꢥ꣄':1,age|person|young|plural,बळुन|பா3ளুன्|/ˈbʌlʊn/,,"{""category"": ""noun"", ""age_group"": ""child"", ""number"": ""plural""}"
^,,young children,english,"group of small kids, little ones",,young':1 'children':2 'group':3 'small':4 'kids':5 'little':6 'balun':7,age|person|young|plural,/jʌŋ ˈtʃɪldrən/,noun,
^,,பாலர்,tamil,சிறு குழந்தைகள்,,balar':1 'young':2 'children':3 'small':4 'kids':5 'balun':6,age|person|young|plural,,noun,
-,ꢏ,ꢏꢬ꣄ꢱꢸ,sourashtra,Sourashtra word for age/stage,,arsu':2 'age':3 'years':4 'stage':5 'period':6 'time':7 'maturity':8 'ꢏꢬ꣄ꢱꢸ':1,time|age|measurement,आ॑र्सु|ஒர்ஸு|/ˈaːrsu/,,"{""category"": ""noun"", ""type"": ""measurement""}"
^,,age,english,"number of years lived, maturity level",,age':1 'number':2 'years':3 'lived':4 'maturity':5 'level':6 'arsu':7,time|age,/eɪdʒ/,noun,
^,,பிராயம்,tamil,"வயது, காலக்கட்டம்",,pirayam':1 'age':2 'years':3 'period':4 'time':5 'arsu':6,time|age,,noun,
^,,stage,english,period of development,,stage':1 'period':2 'development':3 'phase':4 'arsu':5,time|period,/steɪdʒ/,noun,
